repository,tier,owner,aliases,dependencies,purpose
"alani-kernel","MVK required","Kernel team","","alani-abi;alani-platform;alani-ipc;alani-storage;alani-filesystem;alani-devices;alani-security;alani-audit;alani-observability;alani-policy","Authority-bearing core for scheduler, memory, syscall dispatch, device mediation, capabilities, and audit handoff."
"alani-runtime","MVK required","Runtime team","","alani-lib;alani-abi;alani-protocol;alani-ipc;alani-config;alani-security;alani-audit;alani-observability","Userspace runtime for process and agent lifecycle, manifest loading, syscall wrapping, and workload supervision."
"alani-lib","MVK required","Core library team","","alani-abi","Shared safe wrappers, result types, error vocabulary, no_std utilities, and ergonomic APIs used by userspace and services."
"alani-cognition","MVK required","Cognition team","","alani-lib;alani-protocol;alani-memory;alani-models;alani-devices;alani-security;alani-observability","Cognitive execution service for model loading, inference requests, planning, memory retrieval, and accelerator integration."
"alani-memory","MVK required","Memory team","","alani-lib;alani-abi;alani-storage;alani-observability","Knowledge, vector, cache, and persistent memory abstractions consumed by cognition and runtime services."
"alani-devices","MVK required","Device team","","alani-lib;alani-abi;alani-platform;alani-observability","Hardware and virtual-device traits, registration types, polling abstractions, IRQ handoff, DMA descriptors, and device classes."
"alani-security","MVK required","Security team","","alani-lib;alani-abi;alani-policy;alani-identity","Security primitives, authorization helpers, crypto provider traits, authentication plumbing, and sandbox mechanism boundaries."
"alani-audit","MVK required","Audit team","","alani-lib;alani-protocol;alani-observability;alani-storage","Append-only audit event APIs, tamper-evident metadata, durable sink traits, and forensic query surfaces."
"alani-terminal","MVK required","Terminal team","","alani-runtime;alani-lib;alani-protocol;alani-observability","Interactive shell and CLI surface for inspection, service control, cognition experiments, and debugging."
"alani-userspace","MVK required","Userspace team","","alani-runtime;alani-lib;alani-cognition;alani-protocol","Example agents, user applications, and integration examples demonstrating runtime, syscall, cognition, and library use."
"alani-filesystem","MVK required","Storage and filesystem team","","alani-abi;alani-protocol;alani-storage;alani-policy;alani-audit;alani-observability","Virtual filesystem, path resolution, mount table, inode model, journaling hooks, and file capabilities."
"alani-boot","MVK required","Platform team","","alani-abi;alani-platform;alani-config","UEFI and emulator boot handoff logic, kernel image metadata, boot manifest parsing, and early console support."
"alani-platform","MVK required","Platform team","alani-arch","alani-abi","Architecture-specific HAL for x86_64, riscv64, timers, interrupt controllers, CPU features, and page-table primitives."
"alani-abi","MVK required","ABI owners","","","Canonical syscall numbers, repr(C) structs, error codes, handle types, ABI versioning, and feature flags."
"alani-protocol","MVK required","Interface owners","","alani-abi","Shared wire and data schemas for IPC envelopes, audit events, device descriptors, config records, and corpus metadata."
"alani-ipc","MVK required","Kernel and runtime teams","","alani-abi;alani-protocol;alani-policy;alani-observability","Capability-aware message passing, ports, channels, event queues, shared-memory handles, and routing contracts."
"alani-storage","MVK required","Storage team","","alani-abi;alani-devices;alani-observability","Block layer, partitions, volume management, buffer cache, storage-device adapters, and persistence primitives."
"alani-observability","MVK required","Observability team","","alani-abi;alani-protocol","Tracing, metrics, diagnostics, event schema, span context, redaction classification, and export adapters."
"alani-init","MVK required","Runtime team","alani-service-manager","alani-runtime;alani-config;alani-policy;alani-observability;alani-audit","First userspace process, boot profile execution, service supervision, restart policies, and lifecycle events."
"alani-config","MVK required","Platform and runtime teams","","alani-protocol","Typed configuration schemas for boot, devices, runtime, security, corpus, release, and environment profiles."
"alani-policy","MVK required","Security and policy teams","","alani-abi;alani-protocol;alani-config","Declarative capability, access-control, sandbox, audit, and resource policies separated from enforcement mechanisms."
"alani-identity","MVK required","Security team","","alani-abi;alani-protocol;alani-security;alani-audit","Principals, users, service identities, credentials, local identity store, session model, and attestation subjects."
"alani-network","Post-MVK boundary","Networking team","","alani-abi;alani-devices;alani-protocol;alani-policy;alani-observability","Network stack boundary for loopback, sockets, packet buffers, protocol adapters, and future transport services."
"alani-sdk","MVK required","Developer experience team","","alani-config;alani-protocol;alani-docs","Developer CLI, repository templates, sysroot management, code generation, local build helpers, and compatibility checks."
"alani-sim","MVK required","Simulation team","alani-emulator","alani-platform;alani-devices;alani-storage;alani-network;alani-observability;alani-boot","Host-side simulator, QEMU harness, fake devices, deterministic test world, and simulated boot flow."
"alani-tests","MVK required","QA team","alani-conformance","alani-abi;alani-protocol;alani-ipc;alani-filesystem;alani-sim;alani-corpus;alani-policy","Cross-repository integration, ABI conformance, syscall compatibility, security regression, and fixture tests."
"alani-benchmarks","MVK required","Performance team","","alani-abi;alani-ipc;alani-storage;alani-filesystem;alani-cognition;alani-memory;alani-sim","Benchmark scenarios and reporting for scheduler, syscalls, memory, IPC, filesystem, cognition, and devices."
"alani-docs","MVK required","Documentation team","alani-spec","alani-config","Source-of-truth specification docs, diagrams, ADRs, generated API references, lints, and publication pipeline."
"alani-corpus","MVK required","Data and cognition teams","","alani-protocol;alani-config;alani-policy","Corpus schema, sample data, validators, generators, labeling taxonomy, split manifests, and datasheet tooling."
"alani-models","Post-MVK boundary","Cognition team","","alani-protocol;alani-cognition;alani-corpus;alani-policy","Model manifests, adapters, compatibility tests, quantization metadata, and model-pack interface definitions."
"alani-release","MVK required","Release engineering team","alani-image","alani-package;alani-sdk;alani-docs;alani-corpus;alani-config","Reproducible image builder, release manifest, SBOM, checksums, signing pipeline, artifact verification, and release evidence."
"alani-package","Post-MVK boundary","Runtime and release teams","","alani-abi;alani-protocol;alani-config;alani-policy;alani-filesystem;alani-identity","Package format, local registry, dependency resolver, installation transaction model, and package integrity checks."
